station_id,StationName,ntd_mode,agency,line_name,facility_type,Year built,Square Feet,Latitude,Longitude,full_address,City,State,County,Zip_Code,Inner_MaxHeight,Inner_MinHeight,Inner_AvgHeight,Inner_BuildingsWithHeight,Inner_TotalBuildings,Inner_TotalFootprint,Inner_AvgFootprint,Middle_MaxHeight,Middle_MinHeight,Middle_AvgHeight,Middle_BuildingsWithHeight,Middle_TotalBuildings,Middle_TotalFootprint,Middle_AvgFootprint,Outer_MaxHeight,Outer_MinHeight,Outer_AvgHeight,Outer_BuildingsWithHeight,Outer_TotalBuildings,Outer_TotalFootprint,Outer_AvgFootprint,HasStepDown_Inner_Middle,HasStepDown_Middle_Outer,ConsistentStepDown
104,UNION CITY  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Green Line, Orange Line",Elevated Fixed Guideway Station,1972,107400,37.591203,-122.017858,"Union City BART Stop 3, Union City, CA 94587, USA",Union City,CA,Alameda County,94587,,,,0,5,6669.82,1333.96,,,,0,69,43221.4,626.4,3,2,2.2,5,825,285402.42,345.94,FALSE,FALSE,FALSE
105,WALNUT CREEK  STATION,Heavy Rail,Bay Area Rapid Transit (BART),Yellow Line,Elevated Fixed Guideway Station,1973,72800,37.90598,-122.06773,"Walnut Creek BART, Walnut Creek, CA 94596, USA",Walnut Creek,CA,Contra Costa County,94596,,,,0,10,26729.88,2672.99,10,4,6.11,9,62,68664.32,1107.49,6,1,4.14,14,451,204222.66,452.82,FALSE,TRUE,FALSE
106,WARM SRPINGS  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Green Line, Orange Line",At-Grade Fixed Guideway Station,2017,57600,37.50217,-121.9393,"Warm Springs / South Fremont, 45193 Warm Springs Blvd, Fremont, CA 94539, USA",Freemont,CA,Alameda County,45193,,,,0,12,6729.15,560.76,5,5,5,1,11,37965.46,3451.41,5,3,4.33,3,315,625537.3,1985.83,FALSE,FALSE,FALSE
107,WEST DUBLIN/PLEASANTON  STATION,Heavy Rail,Bay Area Rapid Transit (BART),Blue Line,Elevated Fixed Guideway Station,2011,55700,37.6998,-121.9281,"West Dublin/Pleasanton Station, California, USA",Dublin,CA,Alameda County,94588,6,4,5.17,6,15,34055.24,2270.35,6,1,3.06,18,56,71800.2,1282.15,6,1,2.34,197,259,269745.76,1041.49,FALSE,FALSE,FALSE
108,WEST OAKLAND  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Blue Line, Green Line, Red Line, Yellow Line",Elevated Fixed Guideway Station,1974,93300,37.804675,-122.294582,"1451 7th St, Oakland, CA 94607, USA",Oakland,CA,Alameda County,94607,4,2,3.33,3,94,21808.45,232,4,3,3.5,2,526,68255.67,129.76,12,2,5.54,13,1447,305925.78,211.42,FALSE,FALSE,FALSE
109,MAC MILLAN PIER TRANSPORTATION FLOAT STATION,Ferry,Bay State LLC,Ferry ,Ferryboat Terminal,2001,,42.05073261,-70.1834728,"4 W MacMillan Pier, Provincetown, MA 02657, USA",Provincetown,MA,Barnstable County,2657,2,1,1.33,6,18,2709.87,150.55,3,0,1.78,9,236,37347.11,158.25,2,2,2,1,877,108097.48,123.26,FALSE,TRUE,FALSE
110,VALLEJO FERRY TERMINAL STATION,Ferry,Baylink,Vallejo / San Francisco,Ferryboat Terminal,1986,,38.100152,-122.262593,"287 Mare Island Way, Vallejo, CA 94590, USA",Vallejo,CA,Solano County,94590,1,1,1,2,6,9721.58,1620.26,2,2,2,2,19,18860.89,992.68,8,1,4,3,306,199986,653.55,FALSE,FALSE,FALSE
111,ANGEL ISLAND FERRY DOCK STATION,Ferry,Blue & Gold Fleet,Angel Island / San Francisco,Ferryboat Terminal,1979,,37.868485,-122.435067,"Angel Island Ferry Landing, Tiburon, CA 94920, USA",Tiburon,CA,Marin County,94920,2,1,1.14,7,10,557.48,55.75,,,,0,7,1313.34,187.62,2,1,1.33,3,5,1785.54,357.11,FALSE,FALSE,FALSE
112,SAUSALITO FERRY TERMINAL STATION,Ferry,Blue & Gold Fleet,San Francisco / Sausalito / Tiburon,Ferryboat Terminal,1979,,37.856192,-122.477587,"100 Humboldt Ave, Sausalito, CA 94965, USA",Sausalito,CA,Marin County,94965,1,1,1,1,23,5657.01,245.96,,,,0,117,26195.23,223.89,2,2,2,2,632,95258.86,150.73,FALSE,FALSE,FALSE
113,TIBURON FERRY TERMINAL STATION,Ferry,Blue & Gold Fleet,San Francisco / Sausalito / Tiburon,Ferryboat Terminal,1979,,37.872616,-122.455741,"Tiburon Ferry Terminal, Tiburon, CA 94920, USA",Tiburon,CA,Marin County,94920,,,,0,34,13697,402.85,,,,0,142,35678.41,251.26,2,2,2,2,503,121274,241.1,FALSE,FALSE,FALSE
114,BUMPKIN ISLAND STATION,Ferry,Boston Harbor Islands Ferries,"Bumpkin,Georges,Grape,Lovells,Peddocks& South Shore Connector",Ferryboat Terminal,1996,,42.280148,-70.901165,"73JX+3G Hull, MA, USA",Hull,MA,Plymouth County,2045,,,,0,3,142.41,47.47,,,,0,0,0,0,,,,0,0,0,0,FALSE,FALSE,FALSE
115,EDIC PIER #10 STATION,Ferry,Boston Harbor Islands Ferries,Thompson Island Ferry,Ferryboat Terminal,1996,,42.3436,-71.0372,"1 Black Falcon Ave, Boston, MA 02210, USA",Boston,MA,Suffolk County,2210,15,3,9.5,4,9,17724.99,1969.44,9,2,5.2,5,24,55987.07,2332.79,23,1,9.97,33,391,366998.28,938.61,TRUE,FALSE,FALSE
116,GEORGE'S ISLAND STATION,Ferry,Boston Harbor Islands Ferries,"Bumpkin,Georges,Grape,Lovells,Peddocks& South Shore Connector, Long Wharf-Spectacle/Georges",Ferryboat Terminal,1996,,42.319442,-70.930249,"839C+R2, Boston, MA, USA",Boston,MA,Suffolk County,2045,,,,0,6,1166.07,194.35,,,,0,5,11148.18,2229.64,,,,0,0,0,0,FALSE,FALSE,FALSE
117,GRAPE ISLAND STATION,Ferry,Boston Harbor Islands Ferries,"Bumpkin,Georges,Grape,Lovells,Peddocks& South Shore Connector",Ferryboat Terminal,1996,,42.267272,-70.921051,"738H+WH Weymouth, MA, USA",Weymouth,CA,Norfolk County,2043,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,FALSE,FALSE,FALSE
118,HINGHAM SHIPYARD STATION,Ferry,Boston Harbor Islands Ferries,"Bumpkin,Georges,Grape,Lovells,Peddocks& South Shore Connector",Ferryboat Terminal,1996,,42.25314,-70.91969,"30 Shipyard Dr, Hingham, MA 02043, USA",Hingham,CA,Plymouth County,2043,5,2,3.5,2,12,8893.59,741.13,3,2,2.5,2,39,31204.93,800.13,,,,0,236,95991.46,406.74,TRUE,FALSE,FALSE
119,LOVELLS ISLAND STATION,Ferry,Boston Harbor Islands Ferries,"Bumpkin,Georges,Grape,Lovells,Peddocks& South Shore Connector",Ferryboat Terminal,1996,,42.326671,-70.926536,"83GF+M9 Boston, MA, USA",Boston,CA,Suffolk County,2045,,,,0,4,114.84,28.71,,,,0,0,0,0,,,,0,10,8905.38,890.54,FALSE,FALSE,FALSE
