station_id,StationName,ntd_mode,agency,line_name,facility_type,Year built,Square Feet,Latitude,Longitude,full_address,City,State,County,Zip_Code,Inner_MaxHeight,Inner_MinHeight,Inner_AvgHeight,Inner_BuildingsWithHeight,Inner_TotalBuildings,Inner_TotalFootprint,Inner_AvgFootprint,Middle_MaxHeight,Middle_MinHeight,Middle_AvgHeight,Middle_BuildingsWithHeight,Middle_TotalBuildings,Middle_TotalFootprint,Middle_AvgFootprint,Outer_MaxHeight,Outer_MinHeight,Outer_AvgHeight,Outer_BuildingsWithHeight,Outer_TotalBuildings,Outer_TotalFootprint,Outer_AvgFootprint,HasStepDown_Inner_Middle,HasStepDown_Middle_Outer,ConsistentStepDown,Typology
664,PARK LANE STATION,Light Rail,Dallas Area Rapid Transit (DART),"Orange Line, Red Line",Elevated Fixed Guideway Station,2002.0,276.0,32.872791,-96.765717,"Park Lane, Dallas, TX 75231, USA",Dallas,TX,Dallas County,75231,0.0,0.0,0.0,0,14,15321.76,1094.41,1.0,1.0,1.0,1,46,93240.17,2026.96,20.0,2.0,8.0,5,276,351296.82,1272.81,False,False,False,Donut
665,PARKER ROAD STATION,Light Rail,Dallas Area Rapid Transit (DART),"Orange Line, Red Line",Simple At-Grade Platform Station,2003.0,1764.0,33.033752,-96.700974,"Parker Road Station, Plano, TX 75074, USA",Plano,TX,Collin County,75074,5.0,5.0,5.0,1,9,14407.57,1600.84,0.0,0.0,0.0,0,52,55365.61,1064.72,1.0,1.0,1.0,1,460,274969.81,597.76,False,False,False,Other
666,PARKLAND STATION,Light Rail,Dallas Area Rapid Transit (DART),"Green Line, Orange Line",Elevated Fixed Guideway Station,2010.0,1416.0,32.81382,-96.83331,"Southwest Medical District/Parkland, 2101 Medical District Dr, Dallas, TX 75235, USA",Dallas,TX,Dallas County,75235,5.0,2.0,3.33,3,5,23377.62,4675.52,12.0,1.0,4.82,11,23,100710.28,4378.71,8.0,1.0,3.33,12,390,381533.58,978.29,False,True,False,Other
667,PEARL STATION,Light Rail,Dallas Area Rapid Transit (DART),"Blue Line,  Green Line, Orange Line, Red Line",Simple At-Grade Platform Station,1997.0,11200.0,32.786423,-96.794243,"2218 Bryan St, Dallas, TX 75201, USA",Dallas,TX,Dallas County,75201,26.0,4.0,18.33,3,10,32923.0,3292.3,55.0,1.0,23.93,15,28,73756.6,2634.16,63.0,1.0,10.98,58,304,484076.31,1592.36,False,False,False,Other
668,ROWLETT STATION,Light Rail,Dallas Area Rapid Transit (DART),Blue Line ,Simple At-Grade Platform Station,2012.0,504.0,32.9041,-96.56349,"4009 Coyle St, Rowlett, TX 75088, USA",Rowlett,TX,Dallas County,75088,0.0,0.0,0.0,0,20,8981.92,449.1,0.0,0.0,0.0,0,104,70644.46,679.27,0.0,0.0,0.0,0,385,178971.52,464.86,False,False,False,Other
669,ROYAL LANE STATION,Light Rail,Dallas Area Rapid Transit (DART),Green Line,Elevated Fixed Guideway Station,2010.0,1416.0,32.896339,-96.888455,"Royal Lane Station, Dallas, TX 75229, USA",Dallas,TX,Dallas County,75229,0.0,0.0,0.0,0,25,29474.38,1178.98,0.0,0.0,0.0,0,59,78967.15,1338.43,1.0,1.0,1.0,1,357,542496.87,1519.6,False,False,False,Other
670,SPRING VALLEY STATION,Light Rail,Dallas Area Rapid Transit (DART),"Orange Line, Red Line",Elevated Fixed Guideway Station,2002.0,361.0,32.940673,-96.737748,"Spring Valley Station, Richardson, TX 75081, USA",Richardson,TX,Dallas County,75081,1.0,1.0,1.0,3,13,14909.75,1146.9,4.0,1.0,2.04,26,85,96416.86,1134.32,6.0,1.0,2.15,41,387,207646.3,536.55,False,False,False,Donut
671,ST PAUL STATION,Light Rail,Dallas Area Rapid Transit (DART),"Blue Line,  Green Line, Orange Line, Red Line",Simple At-Grade Platform Station,1997.0,15200.0,32.784686,-96.797196,"1999 Bryan St # 1500, Dallas, TX 75201, USA",Dallas,TX,Dallas County,75201,42.0,2.0,25.33,6,17,58325.35,3430.9,55.0,1.0,26.33,21,57,139117.46,2440.66,72.0,1.0,13.23,53,210,427048.23,2033.56,False,False,False,Other
672,TRINITY MILLS STATION,Light Rail,Dallas Area Rapid Transit (DART),Green Line,Simple At-Grade Platform Station,2010.0,16135.0,32.98089,-96.9265,"2525 Blanton Dr, Carrollton, TX 75006, USA",Carrollton,TX,Dallas County,75006,0.0,0.0,0.0,0,3,4378.31,1459.44,0.0,0.0,0.0,0,10,17451.84,1745.18,2.0,1.0,1.5,2,58,138048.37,2380.14,False,False,False,Other
673,TYLER VERNON STATION,Light Rail,Dallas Area Rapid Transit (DART),Red Line,Simple At-Grade Platform Station,1997.0,9600.0,32.733274,-96.838305,"Tyler Vernon Station, Dallas, TX 75208, USA",Dallas,TX,Dallas County,75208,2.0,2.0,2.0,1,57,16460.63,288.78,0.0,0.0,0.0,0,257,46880.22,182.41,1.0,1.0,1.0,1,1296,270983.1,209.09,False,False,False,Other
